pagination,pagination-href,body,Stars
"27","http://www.amazon.com/Samsung-Unlocked-Smartphone-International-Version/product-reviews/B00OKU5RPE/ref=cm_cr_arp_d_paging_btm_27?ie=UTF8&pageNumber=27&sortBy=recent","Perfect, meet my expectation.  I love it.","5.0 out of 5 stars"
"2","http://www.amazon.com/Samsung-Unlocked-Smartphone-International-Version/product-reviews/B00OKU5RPE/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&sortBy=recent","It's better than expected thanks","5.0 out of 5 stars"
"51","http://www.amazon.com/Samsung-Unlocked-Smartphone-International-Version/product-reviews/B00OKU5RPE/ref=cm_cr_arp_d_paging_btm_51?ie=UTF8&pageNumber=51&sortBy=recent","Purchased this product for my teenage daughter who is very pleased with the phone.  It meets all her expectations.  So far so good.  I would purchase again from this seller as they expedited my package quickly and it arrived on schedule.  Thanks very much,  Highly recommended","4.0 out of 5 stars"
"55","http://www.amazon.com/Samsung-Unlocked-Smartphone-International-Version/product-reviews/B00OKU5RPE/ref=cm_cr_arp_d_paging_btm_55?ie=UTF8&pageNumber=55&sortBy=recent","Great phone easy to use.","5.0 out of 5 stars"
"43","http://www.amazon.com/Samsung-Unlocked-Smartphone-International-Version/product-reviews/B00OKU5RPE/ref=cm_cr_arp_d_paging_btm_43?ie=UTF8&pageNumber=43&sortBy=recent","Good condition. Thanks","5.0 out of 5 stars"
"90","http://www.amazon.com/Samsung-Unlocked-Smartphone-International-Version/product-reviews/B00OKU5RPE/ref=cm_cr_arp_d_paging_btm_90?ie=UTF8&pageNumber=90&sortBy=recent","EXCELENTE","5.0 out of 5 stars"
"46","http://www.amazon.com/Samsung-Unlocked-Smartphone-International-Version/product-reviews/B00OKU5RPE/ref=cm_cr_arp_d_paging_btm_46?ie=UTF8&pageNumber=46&sortBy=recent","Love It!!!!","5.0 out of 5 stars"
"75","http://www.amazon.com/Samsung-Unlocked-Smartphone-International-Version/product-reviews/B00OKU5RPE/ref=cm_cr_arp_d_paging_btm_75?ie=UTF8&pageNumber=75&sortBy=recent","I bought it for my mom.The previous one fell and broke. she loves it but be aware this phone only works with american sim cards. it says so on the box.","5.0 out of 5 stars"
"33","http://www.amazon.com/Samsung-Unlocked-Smartphone-International-Version/product-reviews/B00OKU5RPE/ref=cm_cr_arp_d_paging_btm_33?ie=UTF8&pageNumber=33&sortBy=recent","Good","4.0 out of 5 stars"
"26","http://www.amazon.com/Samsung-Unlocked-Smartphone-International-Version/product-reviews/B00OKU5RPE/ref=cm_cr_arp_d_paging_btm_26?ie=UTF8&pageNumber=26&sortBy=recent","good phone","4.0 out of 5 stars"
"14","http://www.amazon.com/Samsung-Unlocked-Smartphone-International-Version/product-reviews/B00OKU5RPE/ref=cm_cr_arp_d_paging_btm_14?ie=UTF8&pageNumber=14&sortBy=recent","Battery life is awesome , The phone working fast , Overall I'm loving it..","5.0 out of 5 stars"
"94","http://www.amazon.com/Samsung-Unlocked-Smartphone-International-Version/product-reviews/B00OKU5RPE/ref=cm_cr_arp_d_paging_btm_94?ie=UTF8&pageNumber=94&sortBy=recent","excelente producto","5.0 out of 5 stars"
"18","http://www.amazon.com/Samsung-Unlocked-Smartphone-International-Version/product-reviews/B00OKU5RPE/ref=cm_cr_arp_d_paging_btm_18?ie=UTF8&pageNumber=18&sortBy=recent","I love Samsung devices and this one does not disappoint. Super-slim profile and lightweight. Smooth interface, absolutely gorgeous display with boss camera and sound quality. Integrated Google apps make for a breezy set-up. Came in a sealed box with all the accessories and literature. I deducted one star b/c upon receipt, the screen had a small bit of pink nail polish on it??? I know how to remove nail polish and that this phone isn't brand brand new however, I felt that was rather tacky for the price.","4.0 out of 5 stars"
"65","http://www.amazon.com/Samsung-Unlocked-Smartphone-International-Version/product-reviews/B00OKU5RPE/ref=cm_cr_arp_d_paging_btm_65?ie=UTF8&pageNumber=65&sortBy=recent","Great phone at a great price!!","5.0 out of 5 stars"
"52","http://www.amazon.com/Samsung-Unlocked-Smartphone-International-Version/product-reviews/B00OKU5RPE/ref=cm_cr_arp_d_paging_btm_52?ie=UTF8&pageNumber=52&sortBy=recent","This phone is lovely. I like the features on it and it's easy to use","5.0 out of 5 stars"
"25","http://www.amazon.com/Samsung-Unlocked-Smartphone-International-Version/product-reviews/B00OKU5RPE/ref=cm_cr_arp_d_paging_btm_25?ie=UTF8&pageNumber=25&sortBy=recent","I think this phone is perfectly sized. It's about as wide as an old Samsung Galaxy S2, but taller and thinner (and lighter). Really an excellent entry level phone.

Pros:
Perfect size
Great screen
Good cameras
Good hardware
Has a high quality look
Dual sim
Unlocked
Fantastic price

Cons:
Some bloatware
Speakers aren't that great","5.0 out of 5 stars"
"49","http://www.amazon.com/Samsung-Unlocked-Smartphone-International-Version/product-reviews/B00OKU5RPE/ref=cm_cr_arp_d_paging_btm_49?ie=UTF8&pageNumber=49&sortBy=recent","This is not what I thought this phone was like. I am sending it back for refund. I don't really meet my expectation.","2.0 out of 5 stars"
"89","http://www.amazon.com/Samsung-Unlocked-Smartphone-International-Version/product-reviews/B00OKU5RPE/ref=cm_cr_arp_d_paging_btm_89?ie=UTF8&pageNumber=89&sortBy=recent","The phone has a bad lag at times but other than that, the phone came on time earlier than I expected and it works ok.","4.0 out of 5 stars"
"13","http://www.amazon.com/Samsung-Unlocked-Smartphone-International-Version/product-reviews/B00OKU5RPE/ref=cm_cr_arp_d_paging_btm_13?ie=UTF8&pageNumber=13&sortBy=recent","Love it. The right size for a phone","5.0 out of 5 stars"
"72","http://www.amazon.com/Samsung-Unlocked-Smartphone-International-Version/product-reviews/B00OKU5RPE/ref=cm_cr_arp_d_paging_btm_72?ie=UTF8&pageNumber=72&sortBy=recent","THE SAMSUNG GALAXY PRIME CELL PHONE ARRIVED ON TIME.IT'S AN EXCELLENT CELL & WORKS PERFECTLY.I GET A LOT OF COMPLIMENTS ABOUT IT MY FAMILY & FRIENDS THINK IT'S THE SAMSUNG GALAXY 6 OR 6S THEY FELL IN LOVE WITH IT SAYING IT LOOKS RICH & EXPENSIVE & ARE PLANING TO PURCHASE ANOTHER ONE.THANKS FOR SUCH A SUPER GREAT CELL PHONE.THE CAMERA TAKES EXCELLENT PICTURES & THE BATTERY LIFE IS EXCELLENT I ONLY HAVE TO CHARGE EVERY TWO DAYS!!!!!!!!","5.0 out of 5 stars"
"63","http://www.amazon.com/Samsung-Unlocked-Smartphone-International-Version/product-reviews/B00OKU5RPE/ref=cm_cr_arp_d_paging_btm_63?ie=UTF8&pageNumber=63&sortBy=recent","I really like this phone. The camera!!!! wow. I got it because I love taking photos but wanted an inexpensive phone.
I have an issue with the battery life thought. To me it runs down quickly. It was 100% charged at 6:16am. took it off and went on whatsapp and fb in 5 mins the bat was already at 95%. I also says that screen uses up to 57% of the battery, even if i have the display at 0.
Other than that I love it.","3.0 out of 5 stars"
"75","http://www.amazon.com/Samsung-Unlocked-Smartphone-International-Version/product-reviews/B00OKU5RPE/ref=cm_cr_arp_d_paging_btm_75?ie=UTF8&pageNumber=75&sortBy=recent","Everything good and delivered in time.","4.0 out of 5 stars"
"71","http://www.amazon.com/Samsung-Unlocked-Smartphone-International-Version/product-reviews/B00OKU5RPE/ref=cm_cr_arp_d_paging_btm_71?ie=UTF8&pageNumber=71&sortBy=recent","I bought this phone as a replacement for my Galaxy S3 on the AT&T network.
The beauty of this phone is the ease of setup. I swapped in my SIM card, my SD card, turned it on and signed into my Google account. All my contacts, text messages, apps, settings, even phone history all transferred automatically in less that 10 minutes.
This works easily as well as my S3 and it's nice to have a newer phone with a nice bright screen and great battery life.
I could only go about a day on my old S3, now can go 3 full days if I need to.
No issues at all with the phone of setup. Very glad I purchased it...","5.0 out of 5 stars"
"88","http://www.amazon.com/Samsung-Unlocked-Smartphone-International-Version/product-reviews/B00OKU5RPE/ref=cm_cr_arp_d_paging_btm_88?ie=UTF8&pageNumber=88&sortBy=recent","Very nice with proper qualities","5.0 out of 5 stars"
"10","http://www.amazon.com/Samsung-Unlocked-Smartphone-International-Version/product-reviews/B00OKU5RPE/ref=cm_cr_arp_d_paging_btm_10?ie=UTF8&pageNumber=10&sortBy=recent","I gave this to my five year old in he loves it. Not for adults , save your coins. Don't buy.","1.0 out of 5 stars"
"39","http://www.amazon.com/Samsung-Unlocked-Smartphone-International-Version/product-reviews/B00OKU5RPE/ref=cm_cr_arp_d_paging_btm_39?ie=UTF8&pageNumber=39&sortBy=recent","Bought this as a gift for my younger brother. It's almost like the Galaxy S4. He's happy with it.","5.0 out of 5 stars"
"70","http://www.amazon.com/Samsung-Unlocked-Smartphone-International-Version/product-reviews/B00OKU5RPE/ref=cm_cr_arp_d_paging_btm_70?ie=UTF8&pageNumber=70&sortBy=recent","great","5.0 out of 5 stars"
"63","http://www.amazon.com/Samsung-Unlocked-Smartphone-International-Version/product-reviews/B00OKU5RPE/ref=cm_cr_arp_d_paging_btm_63?ie=UTF8&pageNumber=63&sortBy=recent","Its amazing, loves it.","5.0 out of 5 stars"
"9","http://www.amazon.com/Samsung-Unlocked-Smartphone-International-Version/product-reviews/B00OKU5RPE/ref=cm_cr_arp_d_paging_btm_9?ie=UTF8&pageNumber=9&sortBy=recent","nice phone, works well","5.0 out of 5 stars"
"46","http://www.amazon.com/Samsung-Unlocked-Smartphone-International-Version/product-reviews/B00OKU5RPE/ref=cm_cr_arp_d_paging_btm_46?ie=UTF8&pageNumber=46&sortBy=recent","Does more than I expected","5.0 out of 5 stars"
"54","http://www.amazon.com/Samsung-Unlocked-Smartphone-International-Version/product-reviews/B00OKU5RPE/ref=cm_cr_arp_d_paging_btm_54?ie=UTF8&pageNumber=54&sortBy=recent","I returned this phone. Essentially it was too big for my tastes so I suggest comparing the dimensions to say an iPhone 5 to ensure it's what you like. Have always owned Samsung Android phones and really enjoy the OS. Shame this one didn't work out but YMMV.","3.0 out of 5 stars"
"77","http://www.amazon.com/Samsung-Unlocked-Smartphone-International-Version/product-reviews/B00OKU5RPE/ref=cm_cr_arp_d_paging_btm_77?ie=UTF8&pageNumber=77&sortBy=recent","I both this phone 4 months ago, and for the first week it was good, ever since it is very slow in it operation, screen takes long to open up, I have to take out battery and reinstall for it to work. I will not recommend this piece of "" Good looking, not working phone""","1.0 out of 5 stars"
"29","http://www.amazon.com/Samsung-Unlocked-Smartphone-International-Version/product-reviews/B00OKU5RPE/ref=cm_cr_arp_d_paging_btm_29?ie=UTF8&pageNumber=29&sortBy=recent","Great","5.0 out of 5 stars"
"17","http://www.amazon.com/Samsung-Unlocked-Smartphone-International-Version/product-reviews/B00OKU5RPE/ref=cm_cr_arp_d_paging_btm_17?ie=UTF8&pageNumber=17&sortBy=recent","Freezes all the time and very slow.","1.0 out of 5 stars"
"25","http://www.amazon.com/Samsung-Unlocked-Smartphone-International-Version/product-reviews/B00OKU5RPE/ref=cm_cr_arp_d_paging_btm_25?ie=UTF8&pageNumber=25&sortBy=recent","So far.so good. I got it for my mom and now i might get one for myself. :)","5.0 out of 5 stars"
"6","http://www.amazon.com/Samsung-Unlocked-Smartphone-International-Version/product-reviews/B00OKU5RPE/ref=cm_cr_arp_d_paging_btm_6?ie=UTF8&pageNumber=6&sortBy=recent","I bought one  of these for use in Argentina.  So far so good.  Has better WiFi reception than the one I have from the USA.  So I bought two more.","5.0 out of 5 stars"
"12","http://www.amazon.com/Samsung-Unlocked-Smartphone-International-Version/product-reviews/B00OKU5RPE/ref=cm_cr_arp_d_paging_btm_12?ie=UTF8&pageNumber=12&sortBy=recent","Great she love it","4.0 out of 5 stars"
"56","http://www.amazon.com/Samsung-Unlocked-Smartphone-International-Version/product-reviews/B00OKU5RPE/ref=cm_cr_arp_d_paging_btm_56?ie=UTF8&pageNumber=56&sortBy=recent","Purchased for my wife's birthday.... She was using a Nokia slider for 5 years and really did not want to give it up. But after a week with the Galaxy the Nokia is history. She loves it!!","5.0 out of 5 stars"
"53","http://www.amazon.com/Samsung-Unlocked-Smartphone-International-Version/product-reviews/B00OKU5RPE/ref=cm_cr_arp_d_paging_btm_53?ie=UTF8&pageNumber=53&sortBy=recent","This phone is awesome and you cannot expect anyting better than this within $180. It has dula sims, is unlocked, descent display size and works beautiful","5.0 out of 5 stars"
"9","http://www.amazon.com/Samsung-Unlocked-Smartphone-International-Version/product-reviews/B00OKU5RPE/ref=cm_cr_arp_d_paging_btm_9?ie=UTF8&pageNumber=9&sortBy=recent","Love yourself... don't buy Samsung phones... 3 different Samsung phones... 3 defective phones... 3 separate horrible customer service and product quality.  Also, Samsung phones slow down over time.","1.0 out of 5 stars"
"21","http://www.amazon.com/Samsung-Unlocked-Smartphone-International-Version/product-reviews/B00OKU5RPE/ref=cm_cr_arp_d_paging_btm_21?ie=UTF8&pageNumber=21&sortBy=recent","Great phone, prompt delivery.","5.0 out of 5 stars"
"43","http://www.amazon.com/Samsung-Unlocked-Smartphone-International-Version/product-reviews/B00OKU5RPE/ref=cm_cr_arp_d_paging_btm_43?ie=UTF8&pageNumber=43&sortBy=recent","Works to complete satisfaction ...","5.0 out of 5 stars"
"58","http://www.amazon.com/Samsung-Unlocked-Smartphone-International-Version/product-reviews/B00OKU5RPE/ref=cm_cr_arp_d_paging_btm_58?ie=UTF8&pageNumber=58&sortBy=recent","It's perfect!!!","5.0 out of 5 stars"
"8","http://www.amazon.com/Samsung-Unlocked-Smartphone-International-Version/product-reviews/B00OKU5RPE/ref=cm_cr_arp_d_paging_btm_8?ie=UTF8&pageNumber=8&sortBy=recent","I love it","5.0 out of 5 stars"
"10","http://www.amazon.com/Samsung-Unlocked-Smartphone-International-Version/product-reviews/B00OKU5RPE/ref=cm_cr_arp_d_paging_btm_10?ie=UTF8&pageNumber=10&sortBy=recent","I didn't realize this phone is not 4g lte compatible. ' You should really put that in the phone details.....now I have this phone I don't want and I can't even get a full refund on it. When I say full refund I'm talking about the activation kit I had to buy to activate this phone. What a waste of money this phone should cost less!","1.0 out of 5 stars"
"88","http://www.amazon.com/Samsung-Unlocked-Smartphone-International-Version/product-reviews/B00OKU5RPE/ref=cm_cr_arp_d_paging_btm_88?ie=UTF8&pageNumber=88&sortBy=recent","the phone work great and arrived early, a little disappointed about the duty charge i wasn't expected","4.0 out of 5 stars"
"37","http://www.amazon.com/Samsung-Unlocked-Smartphone-International-Version/product-reviews/B00OKU5RPE/ref=cm_cr_arp_d_paging_btm_37?ie=UTF8&pageNumber=37&sortBy=recent","It's a little larger than I expected. I prefer slim phones. I'm getting use to the size and love every feature.","5.0 out of 5 stars"
"39","http://www.amazon.com/Samsung-Unlocked-Smartphone-International-Version/product-reviews/B00OKU5RPE/ref=cm_cr_arp_d_paging_btm_39?ie=UTF8&pageNumber=39&sortBy=recent","Product was ok. Camera quality isnt bad. I just tend to look like i filted my pics when i use it. Memory ok. Product came just a it should look with all  accessories. Works fine so far.  Package also came on time","4.0 out of 5 stars"
"7","http://www.amazon.com/Samsung-Unlocked-Smartphone-International-Version/product-reviews/B00OKU5RPE/ref=cm_cr_arp_d_paging_btm_7?ie=UTF8&pageNumber=7&sortBy=recent","The sim card  is unable to fit in the slot","1.0 out of 5 stars"
"67","http://www.amazon.com/Samsung-Unlocked-Smartphone-International-Version/product-reviews/B00OKU5RPE/ref=cm_cr_arp_d_paging_btm_67?ie=UTF8&pageNumber=67&sortBy=recent","I just got this phone today and it is really good !!! Must buy, came on time and it has a good interface","4.0 out of 5 stars"
"69","http://www.amazon.com/Samsung-Unlocked-Smartphone-International-Version/product-reviews/B00OKU5RPE/ref=cm_cr_arp_d_paging_btm_69?ie=UTF8&pageNumber=69&sortBy=recent","Great Phone for the price. Please note that if planning to use outside of the Americas, you must place a 5 minute phone call from this phone using an American sim card before phone can be used. I missed this step and when I shipped this phone to Russia,  it was asking for an unlock code. I had to purchase an unlock code from cellunlocker.net for $25, network unlock code did not work, but freeze code did.","4.0 out of 5 stars"
"31","http://www.amazon.com/Samsung-Unlocked-Smartphone-International-Version/product-reviews/B00OKU5RPE/ref=cm_cr_arp_d_paging_btm_31?ie=UTF8&pageNumber=31&sortBy=recent","This phone turned out to be a horrible purchase. It's less than six months old and it freezes. At first I realize this but now it's unbearable. Constantly have to reboot/restart it. And it's not like I have so many apps.am sorry but Will not recommend.","1.0 out of 5 stars"
"19","http://www.amazon.com/Samsung-Unlocked-Smartphone-International-Version/product-reviews/B00OKU5RPE/ref=cm_cr_arp_d_paging_btm_19?ie=UTF8&pageNumber=19&sortBy=recent","Good","4.0 out of 5 stars"
"93","http://www.amazon.com/Samsung-Unlocked-Smartphone-International-Version/product-reviews/B00OKU5RPE/ref=cm_cr_arp_d_paging_btm_93?ie=UTF8&pageNumber=93&sortBy=recent","A++","5.0 out of 5 stars"
"33","http://www.amazon.com/Samsung-Unlocked-Smartphone-International-Version/product-reviews/B00OKU5RPE/ref=cm_cr_arp_d_paging_btm_33?ie=UTF8&pageNumber=33&sortBy=recent","I ordered this phone for my daughter and she is content with the phone.","5.0 out of 5 stars"
"44","http://www.amazon.com/Samsung-Unlocked-Smartphone-International-Version/product-reviews/B00OKU5RPE/ref=cm_cr_arp_d_paging_btm_44?ie=UTF8&pageNumber=44&sortBy=recent","Bought that phone in May 2015 ,  By Nov 2015 the phone is not functioning at all .  cant turn it on or charge it or return it since it's been over 6 month from the time it was purchased !!!!","2.0 out of 5 stars"
"69","http://www.amazon.com/Samsung-Unlocked-Smartphone-International-Version/product-reviews/B00OKU5RPE/ref=cm_cr_arp_d_paging_btm_69?ie=UTF8&pageNumber=69&sortBy=recent","Fantastic","5.0 out of 5 stars"
"33","http://www.amazon.com/Samsung-Unlocked-Smartphone-International-Version/product-reviews/B00OKU5RPE/ref=cm_cr_arp_d_paging_btm_33?ie=UTF8&pageNumber=33&sortBy=recent","Beats all android cheap phones. Functions adequately.","4.0 out of 5 stars"
"86","http://www.amazon.com/Samsung-Unlocked-Smartphone-International-Version/product-reviews/B00OKU5RPE/ref=cm_cr_arp_d_paging_btm_86?ie=UTF8&pageNumber=86&sortBy=recent","Very satisfied","4.0 out of 5 stars"
"11","http://www.amazon.com/Samsung-Unlocked-Smartphone-International-Version/product-reviews/B00OKU5RPE/ref=cm_cr_arp_d_paging_btm_11?ie=UTF8&pageNumber=11&sortBy=recent","Came in quick. I was able to test it with T-Mobile SIM and AT&T SIM cards so Yes it is unlocked phone. I actually liked it that it is a dual SIM enabled phone. I will post more once I experience it little bit. 1st impression was great.","5.0 out of 5 stars"
"27","http://www.amazon.com/Samsung-Unlocked-Smartphone-International-Version/product-reviews/B00OKU5RPE/ref=cm_cr_arp_d_paging_btm_27?ie=UTF8&pageNumber=27&sortBy=recent","Good shoppers","5.0 out of 5 stars"
"60","http://www.amazon.com/Samsung-Unlocked-Smartphone-International-Version/product-reviews/B00OKU5RPE/ref=cm_cr_arp_d_paging_btm_60?ie=UTF8&pageNumber=60&sortBy=recent","having a lot of issues with it reading my sim card and it has a lagging issue","1.0 out of 5 stars"
"15","http://www.amazon.com/Samsung-Unlocked-Smartphone-International-Version/product-reviews/B00OKU5RPE/ref=cm_cr_arp_d_paging_btm_15?ie=UTF8&pageNumber=15&sortBy=recent","No good! Thought it's unlocked. But it only requires US sim which doesn't state on the adds. Waste of money.","1.0 out of 5 stars"
"54","http://www.amazon.com/Samsung-Unlocked-Smartphone-International-Version/product-reviews/B00OKU5RPE/ref=cm_cr_arp_d_paging_btm_54?ie=UTF8&pageNumber=54&sortBy=recent","This is a HORRIBLE PHONE!!!!","1.0 out of 5 stars"
"39","http://www.amazon.com/Samsung-Unlocked-Smartphone-International-Version/product-reviews/B00OKU5RPE/ref=cm_cr_arp_d_paging_btm_39?ie=UTF8&pageNumber=39&sortBy=recent","Great phone","5.0 out of 5 stars"
"72","http://www.amazon.com/Samsung-Unlocked-Smartphone-International-Version/product-reviews/B00OKU5RPE/ref=cm_cr_arp_d_paging_btm_72?ie=UTF8&pageNumber=72&sortBy=recent","The best phone I ever had!!!","5.0 out of 5 stars"
"63","http://www.amazon.com/Samsung-Unlocked-Smartphone-International-Version/product-reviews/B00OKU5RPE/ref=cm_cr_arp_d_paging_btm_63?ie=UTF8&pageNumber=63&sortBy=recent","Wow amazingly  phone I'll give that an 9/10 cause its an 3g. I still love it 👍","5.0 out of 5 stars"
"68","http://www.amazon.com/Samsung-Unlocked-Smartphone-International-Version/product-reviews/B00OKU5RPE/ref=cm_cr_arp_d_paging_btm_68?ie=UTF8&pageNumber=68&sortBy=recent","This phone is good to Afreca","1.0 out of 5 stars"
"81","http://www.amazon.com/Samsung-Unlocked-Smartphone-International-Version/product-reviews/B00OKU5RPE/ref=cm_cr_arp_d_paging_btm_81?ie=UTF8&pageNumber=81&sortBy=recent","It's a good phone but the picture quality is not that good.","3.0 out of 5 stars"
"37","http://www.amazon.com/Samsung-Unlocked-Smartphone-International-Version/product-reviews/B00OKU5RPE/ref=cm_cr_arp_d_paging_btm_37?ie=UTF8&pageNumber=37&sortBy=recent","We Liked the iPhone case. Received as described in the add. Received on time.","5.0 out of 5 stars"
"94","http://www.amazon.com/Samsung-Unlocked-Smartphone-International-Version/product-reviews/B00OKU5RPE/ref=cm_cr_arp_d_paging_btm_94?ie=UTF8&pageNumber=94&sortBy=recent","Excellent","5.0 out of 5 stars"
"37","http://www.amazon.com/Samsung-Unlocked-Smartphone-International-Version/product-reviews/B00OKU5RPE/ref=cm_cr_arp_d_paging_btm_37?ie=UTF8&pageNumber=37&sortBy=recent","8GB is simply not enough space for a phone. It is cheaper to get an old brick cellphone as all you can really do with this is use the internet. I live overseas and bought this phone thinking I would use it sparingly as a European specific phone. I downloaded Skype, Whatsap, and Amazon and added an SD card which houses Airbnb and some other aps. Do yourself a favor and save up for the IPHONE 32gb or another phone with more space. I am running at bare bones on this phone and it sucks.","2.0 out of 5 stars"
"23","http://www.amazon.com/Samsung-Unlocked-Smartphone-International-Version/product-reviews/B00OKU5RPE/ref=cm_cr_arp_d_paging_btm_23?ie=UTF8&pageNumber=23&sortBy=recent","It work pretty damn good","5.0 out of 5 stars"
"67","http://www.amazon.com/Samsung-Unlocked-Smartphone-International-Version/product-reviews/B00OKU5RPE/ref=cm_cr_arp_d_paging_btm_67?ie=UTF8&pageNumber=67&sortBy=recent","What is the size of the screen?","3.0 out of 5 stars"
"79","http://www.amazon.com/Samsung-Unlocked-Smartphone-International-Version/product-reviews/B00OKU5RPE/ref=cm_cr_arp_d_paging_btm_79?ie=UTF8&pageNumber=79&sortBy=recent","Great phone at good price!!","5.0 out of 5 stars"
"3","http://www.amazon.com/Samsung-Unlocked-Smartphone-International-Version/product-reviews/B00OKU5RPE/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&sortBy=recent","Good","4.0 out of 5 stars"
"37","http://www.amazon.com/Samsung-Unlocked-Smartphone-International-Version/product-reviews/B00OKU5RPE/ref=cm_cr_arp_d_paging_btm_37?ie=UTF8&pageNumber=37&sortBy=recent","Good af","5.0 out of 5 stars"
"42","http://www.amazon.com/Samsung-Unlocked-Smartphone-International-Version/product-reviews/B00OKU5RPE/ref=cm_cr_arp_d_paging_btm_42?ie=UTF8&pageNumber=42&sortBy=recent","Great phone, but does not allow you to get on the internet.","3.0 out of 5 stars"
"44","http://www.amazon.com/Samsung-Unlocked-Smartphone-International-Version/product-reviews/B00OKU5RPE/ref=cm_cr_arp_d_paging_btm_44?ie=UTF8&pageNumber=44&sortBy=recent","Quality phone, but does not come with Android 4.4 as indicated by the title, mine came with Android 5.1 installed.  In my case this is important.","3.0 out of 5 stars"
"62","http://www.amazon.com/Samsung-Unlocked-Smartphone-International-Version/product-reviews/B00OKU5RPE/ref=cm_cr_arp_d_paging_btm_62?ie=UTF8&pageNumber=62&sortBy=recent","Great phone for the money!","5.0 out of 5 stars"
"63","http://www.amazon.com/Samsung-Unlocked-Smartphone-International-Version/product-reviews/B00OKU5RPE/ref=cm_cr_arp_d_paging_btm_63?ie=UTF8&pageNumber=63&sortBy=recent","Very good!","5.0 out of 5 stars"
"93","http://www.amazon.com/Samsung-Unlocked-Smartphone-International-Version/product-reviews/B00OKU5RPE/ref=cm_cr_arp_d_paging_btm_93?ie=UTF8&pageNumber=93&sortBy=recent","Excelente","5.0 out of 5 stars"
